controller,world_model,horizon,recompute_interval,length_ratio,gravity_ratio,masscart_ratio,masspole_ratio,wind_mu,wind_sigma,init_angle,total_evaluation_time,avg_episode_time
mpc,dynamics,60,1,1.0,0.6,0.6,0.6,0.0,0.0,0.0,3.650134801864624,3.4315361976623535
mpc,dynamics,60,1,1.0,0.6,0.6,1.0,0.0,0.0,0.0,3.6720831394195557,3.5220038890838623
mpc,dynamics,60,1,1.0,0.6,0.6,1.4,0.0,0.0,0.0,3.580500602722168,3.4247303009033203
mpc,dynamics,60,1,1.0,0.6,1.0,0.6,0.0,0.0,0.0,3.6120657920837402,3.448927402496338
mpc,dynamics,60,1,1.0,0.6,1.0,1.0,0.0,0.0,0.0,3.5840229988098145,3.434333324432373
mpc,dynamics,60,1,1.0,0.6,1.0,1.4,0.0,0.0,0.0,3.5619781017303467,3.4092342853546143
mpc,dynamics,60,1,1.0,0.6,1.4,0.6,0.0,0.0,0.0,3.6553187370300293,3.502964496612549
mpc,dynamics,60,1,1.0,0.6,1.4,1.0,0.0,0.0,0.0,3.6976828575134277,3.544182538986206
mpc,dynamics,60,1,1.0,0.6,1.4,1.4,0.0,0.0,0.0,3.7011284828186035,3.5177571773529053
mpc,dynamics,60,1,1.0,1.0,0.6,0.6,0.0,0.0,0.0,3.527768135070801,3.3799800872802734
mpc,dynamics,60,1,1.0,1.0,0.6,1.0,0.0,0.0,0.0,3.5487282276153564,3.381476402282715
mpc,dynamics,60,1,1.0,1.0,0.6,1.4,0.0,0.0,0.0,3.5555708408355713,3.3752007484436035
mpc,dynamics,60,1,1.0,1.0,1.0,0.6,0.0,0.0,0.0,3.6328625679016113,3.4876768589019775
mpc,dynamics,60,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.6491506099700928,3.4987475872039795
mpc,dynamics,60,1,1.0,1.0,1.0,1.4,0.0,0.0,0.0,3.6200084686279297,3.4540114402770996
mpc,dynamics,60,1,1.0,1.0,1.4,0.6,0.0,0.0,0.0,3.725606679916382,3.444523811340332
mpc,dynamics,60,1,1.0,1.0,1.4,1.0,0.0,0.0,0.0,3.585891008377075,3.433098316192627
mpc,dynamics,60,1,1.0,1.0,1.4,1.4,0.0,0.0,0.0,3.5632710456848145,3.410214424133301
mpc,dynamics,60,1,1.0,1.4,0.6,0.6,0.0,0.0,0.0,3.605675220489502,3.4525580406188965
mpc,dynamics,60,1,1.0,1.4,0.6,1.0,0.0,0.0,0.0,3.745849132537842,3.5593292713165283
mpc,dynamics,60,1,1.0,1.4,0.6,1.4,0.0,0.0,0.0,3.6143288612365723,3.4606735706329346
mpc,dynamics,60,1,1.0,1.4,1.0,0.6,0.0,0.0,0.0,3.56294584274292,3.407689094543457
mpc,dynamics,60,1,1.0,1.4,1.0,1.0,0.0,0.0,0.0,3.6062119007110596,3.447796106338501
mpc,dynamics,60,1,1.0,1.4,1.0,1.4,0.0,0.0,0.0,3.591632604598999,3.437664031982422
mpc,dynamics,60,1,1.0,1.4,1.4,0.6,0.0,0.0,0.0,3.5647499561309814,3.406527280807495
mpc,dynamics,60,1,1.0,1.4,1.4,1.0,0.0,0.0,0.0,3.6019906997680664,3.448549509048462
mpc,dynamics,60,1,1.0,1.4,1.4,1.4,0.0,0.0,0.0,3.7075366973876953,3.5486152172088623
mpc,dynamics,80,1,1.0,0.6,0.6,0.6,0.0,0.0,0.0,4.565870046615601,4.348944664001465
mpc,dynamics,80,1,1.0,0.6,0.6,1.0,0.0,0.0,0.0,4.551190137863159,4.353728532791138
mpc,dynamics,80,1,1.0,0.6,0.6,1.4,0.0,0.0,0.0,4.599160671234131,4.397341966629028
mpc,dynamics,80,1,1.0,0.6,1.0,0.6,0.0,0.0,0.0,4.568894147872925,4.368077039718628
mpc,dynamics,80,1,1.0,0.6,1.0,1.0,0.0,0.0,0.0,4.728640794754028,4.379820108413696
mpc,dynamics,80,1,1.0,0.6,1.0,1.4,0.0,0.0,0.0,4.543614387512207,4.349222898483276
mpc,dynamics,80,1,1.0,0.6,1.4,0.6,0.0,0.0,0.0,4.601531505584717,4.3907318115234375
mpc,dynamics,80,1,1.0,0.6,1.4,1.0,0.0,0.0,0.0,4.532448053359985,4.329216003417969
mpc,dynamics,80,1,1.0,0.6,1.4,1.4,0.0,0.0,0.0,4.51697564125061,4.331616640090942
mpc,dynamics,80,1,1.0,1.0,0.6,0.6,0.0,0.0,0.0,4.515700340270996,4.333276033401489
mpc,dynamics,80,1,1.0,1.0,0.6,1.0,0.0,0.0,0.0,4.570876836776733,4.3777854442596436
mpc,dynamics,80,1,1.0,1.0,0.6,1.4,0.0,0.0,0.0,4.610360145568848,4.397290945053101
mpc,dynamics,80,1,1.0,1.0,1.0,0.6,0.0,0.0,0.0,4.581402063369751,4.385120630264282
mpc,dynamics,80,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.651007175445557,4.467442274093628
mpc,dynamics,80,1,1.0,1.0,1.0,1.4,0.0,0.0,0.0,4.632420539855957,4.416750907897949
mpc,dynamics,80,1,1.0,1.0,1.4,0.6,0.0,0.0,0.0,4.908366441726685,4.708098888397217
mpc,dynamics,80,1,1.0,1.0,1.4,1.0,0.0,0.0,0.0,4.964767694473267,4.698392152786255
mpc,dynamics,80,1,1.0,1.0,1.4,1.4,0.0,0.0,0.0,4.872665166854858,4.524775266647339
mpc,dynamics,80,1,1.0,1.4,0.6,0.6,0.0,0.0,0.0,4.611436367034912,4.401309490203857
mpc,dynamics,80,1,1.0,1.4,0.6,1.0,0.0,0.0,0.0,4.643799781799316,4.4336488246917725
mpc,dynamics,80,1,1.0,1.4,0.6,1.4,0.0,0.0,0.0,4.518422842025757,4.319483041763306
mpc,dynamics,80,1,1.0,1.4,1.0,0.6,0.0,0.0,0.0,4.465166091918945,4.272411346435547
mpc,dynamics,80,1,1.0,1.4,1.0,1.0,0.0,0.0,0.0,4.5508811473846436,4.370769739151001
mpc,dynamics,80,1,1.0,1.4,1.0,1.4,0.0,0.0,0.0,4.615484714508057,4.41217565536499
mpc,dynamics,80,1,1.0,1.4,1.4,0.6,0.0,0.0,0.0,4.691309452056885,4.478962421417236
mpc,dynamics,80,1,1.0,1.4,1.4,1.0,0.0,0.0,0.0,4.775453090667725,4.562581777572632
mpc,dynamics,80,1,1.0,1.4,1.4,1.4,0.0,0.0,0.0,4.697509050369263,4.497388601303101
