model,horizon,recompute_interval,evaluation_time_seconds
mpc,10,1,27.75437045097351
mpc,10,5,6.433088302612305
mpc,10,10,2.82391357421875
mpc,20,1,85.8185772895813
mpc,20,5,13.497382640838623
mpc,20,10,3.1839070320129395
mpc,30,1,768.064306974411
mpc,30,5,62.82431769371033
mpc,30,10,5.191539525985718
mpc,40,1,1637.7492015361786
mpc,40,5,252.4759156703949
mpc,40,10,3.7887766361236572
mpc,50,1,971.0599706172943
mpc,50,5,186.79647183418274
mpc,50,10,4.969956159591675
mpc,60,1,1682.7194731235504
mpc,60,5,314.89758467674255
mpc,60,10,7.255188703536987
mpc,70,1,1520.3412640094757
mpc,70,5,243.7662091255188
mpc,70,10,5.661481857299805
mpc,80,1,4662.221312761307
mpc,80,5,387.23268723487854
mpc,80,10,6.381101846694946
mpc,90,1,1984.8723349571228
mpc,90,5,510.8650071620941
mpc,90,10,11.176730871200562
mpc,100,1,2388.938078403473
mpc,100,5,313.4189360141754
mpc,100,10,9.313777685165405
