model,horizon,recompute_interval,evaluation_time_seconds
mpc,10,1,31.417219161987305
mpc,10,5,8.237275838851929
mpc,10,10,5.4585676193237305
mpc,20,1,99.98641586303711
mpc,20,5,14.593711376190186
mpc,20,10,5.345529079437256
mpc,30,1,325.4858078956604
mpc,30,5,28.229501962661743
mpc,30,10,7.34983491897583
mpc,40,1,1281.9321956634521
mpc,40,5,118.3762001991272
mpc,40,10,7.634112358093262
mpc,50,1,734.3480079174042
mpc,50,5,27.493462085723877
mpc,50,10,5.2473883628845215
mpc,60,1,239.63077688217163
mpc,60,5,26.776440620422363
mpc,60,10,5.27557373046875
mpc,70,1,285.7073321342468
mpc,70,5,31.406770706176758
mpc,70,10,6.629579067230225
mpc,80,1,279.39921975135803
mpc,80,5,30.454858541488647
mpc,80,10,7.118970155715942
mpc,90,1,386.7223651409149
mpc,90,5,52.82238030433655
mpc,90,10,11.056461811065674
mpc,100,1,512.4772922992706
mpc,100,5,55.45227575302124
mpc,100,10,13.317105531692505
