model,rl_train_steps,noise_array,training_time_seconds
ppo,1000,"[0.0, 0.0, 0.0, 0.0]",3.0745232105255127
dqn,1000,"[0.0, 0.0, 0.0, 0.0]",2.2166478633880615
ppo,10000,"[0.0, 0.0, 0.0, 0.0]",13.655756711959839
dqn,10000,"[0.0, 0.0, 0.0, 0.0]",10.162738800048828
ppo,100000,"[0.0, 0.0, 0.0, 0.0]",111.57902669906616
dqn,100000,"[0.0, 0.0, 0.0, 0.0]",103.52131843566895
ppo,1000000,"[0.0, 0.0, 0.0, 0.0]",1475.4289655685425
dqn,1000000,"[0.0, 0.0, 0.0, 0.0]",914.9938077926636
ppo,10000000,"[0.0, 0.0, 0.0, 0.0]",18463.303888320923
dqn,10000000,"[0.0, 0.0, 0.0, 0.0]",18549.71825647354
